SYMBOL,PERIOD,PERIOD_START,PERIOD_END,TRADING_DAYS,OPEN,HIGH,LOW,CLOSE,CHANGE_AMT,CHANGE_PCT,BODY_SIZE,BODY_PCT,FULL_RANGE,CLOSE_ABOVE_OPEN,TREND_DIRECTION,TREND_MATCHES_BODY,HIGH_DATE,LOW_DATE,TOTAL_VOLUME,TOTAL_DELIV_QTY,DELIV_PCT,AVG_DELIV_PER
20MICRONS,2019-Q2,2019-06-27,2019-06-27,1,37.60,37.60,36.50,37.10,-0.50,-1.33,0.50,45.45,1.10,NO,FLAT,YES,2019-06-27,2019-06-27,29459,14218,48.26,48.26
20MICRONS,2019-Q3,2019-08-23,2019-08-23,1,31.00,32.70,30.70,31.80,0.80,2.58,0.80,40.00,2.00,YES,FLAT,YES,2019-08-23,2019-08-23,29218,22072,75.54,75.54
20MICRONS,2019-Q4,2019-10-01,2019-12-31,79,39.90,41.80,31.35,35.25,-4.65,-11.65,4.65,44.50,10.45,NO,DOWN,YES,2019-10-04,2019-12-24,2902137,1689308,58.21,60.31
20MICRONS,2020-Q1,2020-01-01,2020-03-31,79,36.00,38.00,19.00,25.50,-10.50,-29.17,10.50,55.26,19.00,NO,DOWN,YES,2020-01-24,2020-03-23,3617412,2444087,67.56,64.41
20MICRONS,2020-Q2,2020-04-01,2020-06-30,77,26.20,36.40,23.20,33.25,7.05,26.91,7.05,53.41,13.20,YES,UP,YES,2020-06-23,2020-04-03,6028636,3324365,55.14,59.17
20MICRONS,2020-Q3,2020-07-01,2020-09-30,79,32.75,36.50,25.35,28.40,-4.35,-13.28,4.35,39.01,11.15,NO,DOWN,YES,2020-08-12,2020-09-22,7324294,4115163,56.19,59.31
20MICRONS,2020-Q4,2020-10-01,2020-12-31,79,28.40,43.80,26.05,40.40,12.00,42.25,12.00,67.61,17.75,YES,UP,YES,2020-12-23,2020-10-29,14069735,7346139,52.21,59.29
20MICRONS,2021-Q1,2021-01-01,2021-03-31,77,40.75,42.00,28.20,35.90,-4.85,-11.90,4.85,35.14,13.80,NO,DOWN,YES,2021-01-08,2021-03-25,12152398,7095310,58.39,61.19
20MICRONS,2021-Q2,2021-04-01,2021-06-30,78,35.40,74.90,33.05,60.00,24.60,69.49,24.60,58.78,41.85,YES,UP,YES,2021-05-25,2021-04-06,35219156,16795129,47.69,55.84
20MICRONS,2021-Q3,2021-07-01,2021-09-30,79,60.45,70.00,48.45,60.95,0.50,0.83,0.50,2.32,21.55,YES,DOWN,NO,2021-07-19,2021-08-23,16014576,8675400,54.17,58.85
